id,orpha,gard,omim,mondo,mesh,umls,icd10,do,description,prevalence,inheritance,age_onset,created_at,updated_at,meddra,orpha_name,gard_name,synonym,disease_gene_relationships_count,disease_phenotype_relationships_count,alias,not_rare_orpha,not_rare_gard
182,ORPHA:90000,8653,,,C535509,C0263398,L95.1,,"Erythema elevatum diutinum (EED) is a distinctive form of chronic cutaneous vasculitis, belonging to the group of the neutrophilic dermatoses.It is very rare, although the exact prevalence is unknown.The disease manifests as chronic, red to purple papules, located mainly on the dorsal aspect of the main joints (knees, elbows, hands and feet). Acute lesions may appear bullous, necrotic or hemorrhagic. Older lesions are yellowish or brown.EED is not an inherited disease and the exact aetiology remains unknown. EED is a reactive process, which may occur in isolation or in the context of an inflammatory or systemic disease, or in association with blood abnormalities (gammopathies) or infections (including HIV infection).Diagnosis is made on the basis of the clinical presentation and after histological analysis of skin biopsies by a dermatopathologist.EED should be distinguished from other types of papular or nodular dermatoses, as well as fibrous tumors and xanthomas.Management includes a complete clinical examination by a dermatologist, together with screening for infections, digestive disorders, and gammopathies (serum electrophoresis). Dapsone is the first line of treatment for EED. Treatment must be monitored clinically and by blood examination. In cases were dapsone is inefficient or poorly tolerated, other drugs may provide an effective treatment.Although EED is a chronic condition, it is usually sensitive to treatment and the prognosis is good.",Unknown,Unknown,All ages,2020-12-22 18:01:35,2021-02-25 17:35:27,10056968,Erythema elevatum diutinum,Erythema elevatum diutinum,,0,8,,,NULL
183,ORPHA:502499,,,,,,,,"A rare skin disease characterized most typically by targetoid papules with concentric color variation symmetrically distributed on the extensor surfaces of the extremities, accompanied by mucosal involvement (in particular the oral mucosa) in the form of initial erythema with edema, progressing to superficial erosions with pseudomembrane formation. Grouping of lesions around the elbows and knees and edema of the nail folds may also be observed. The condition is commonly proceeded by prodromal symptoms of malaise, fever, and myalgias, and is usually self-limiting, although recurrent disease is seen in a subset of patients.",,,All ages,2020-12-22 18:01:35,2021-02-25 17:35:30,,Erythema multiforme major,Erythema multiforme,"Erythema exsudativum multiforme majus, Erythema multiforme majus",0,0,,,NULL
184,ORPHA:315,1722,,,,,Q82.8,,"A rare, genetic, epidermal disorder characterized by intermittent (remitting and recurring), annular, polycyclic, target-like (or 'en cocardes') plaques with concentric rings of scaling erythema occurring on the extremities, flexural areas, and trunk. Concurrent erythrokeratoderma variabilis-like scaly plaques are commonly found in other parts of the body.",<1 / 1 000 000,Autosomal dominant ,Childhood,2020-12-22 18:01:35,2021-02-25 15:43:26,,Erythrokeratoderma ''en cocardes'',Erythrokeratoderma ''en cocardes'',"Degos genodermatosis ""en cocardes""",0,4,,,NULL
185,ORPHA:317,,133200,,,C0265961,Q82.8,,,Unknown,Autosomal dominant or Autosomal recessive ,"Infancy, Neonatal",2020-12-22 18:01:35,2021-02-25 17:35:36,10049048,Erythrokeratodermia variabilis,Erythrokeratodermia variabilis et progressiva,"Erythrokeratodermia variabilis, Mendes da Costa type",13,0,,,NULL
186,ORPHA:90026,6377,133020,,,C0014805,I73.8,,"Primary erythermalgia is characterized by intermittent attacks of red, warm, painful burning extremities. It spontaneously arises during early childhood and adolescence in the absence of any detectable underlying disorder.It may occur sporadically or as an inherited disease, but less than 30 kindreds with familial primary erythermalgia have been reported in the literature so far.Clinically, it is characterized by episodes of symmetrical red congestion, vasodilatation, and burning pain in both the feet and lower legs provoked by exercise, long standing and exposure to warmth that usually compels patients not to wear socks or closed shoes even in winter and to search for relief by immersion of feet in ice-cold water.The gene for autosomal dominant erythermalgia, SCN9a, is located on chromosome 2q. SCN9a is a 26 exon gene encoding the voltage-gated sodium channel alpha subunit Nav1.7. This channel is found mainly in dorsal root ganglia and sympathetic ganglia neurons. All mutations detected so far are missense and lead to a gain of function by lowering the activation threshold of Nav1.7, resulting in hyperexcitability of pain signaling neurons.The molecular diagnosis relies on sequencing of all coding exons of SCN9a. All mutations so far detected are private mutations (i.e. all families have their own unique mutations). Clinical diagnostic criteria are: attacks of local red congestion and vasodilation with increased local skin temperature and burning pain; a bilateral and symmetric distribution of symptoms; onset and aggravation of symptoms in response to distress, exercise and heat; relief provided by cold, rest and elevation of the affected extremities; the absence of a primary or associated disease; the condition being refractory to treatment.Differential diagnosis includes erythromelalgia and secondary erythermalgia. In erythromelalgia, the burning pain and red congestion are usually unilateral or asymmetrically distributed with preferential involvement of one or more toes, the forefoot soles or fingertips. The platelet count is always elevated > 400 x 10 9/L, and aspirin relieves symptoms. Secondary erythermalgia is acquired, mostly develops at a later age and is invariably linked with the use of drugs or underlying disease (vasculitis, neuropathy). In contrast to erythromelalgia, the platelet count in both secondary and inherited primary erythermalgia is normal.In familial cases, the disorder is inherited as an autosomal dominant trait. Genetic counselling should be adapted according to the family history of the patient and affected parents should be informed of the 50% risk of reoccurrence.Analgesic therapy for the neuropathic pain is problematic. However, voltage-gated sodium channels are potential targets for local anesthetics (lidocaine), systemic antiarrhythmics (mexiletine) and antiepileptic drugs such as phenytoin. In several patients, oral mexiletine (600 mg daily) rapidly improved symptoms suggesting that blocking the voltage-gated sodium channels is a valid therapeutic option.Prognosis depends on the severity of the disease. In severe cases the burning pain leads to an urgent need to cool the affected extremities. As a consequence, the affected skin from the limb (mostly the feet) can macerate resulting in skin fissures, skin infections and, possibly life-threatening sepsis. Amputation may be required in case of repeated infections. The very severe burning pain can lead to profound psychological consequences and depression.",Unknown,Autosomal dominant ,All ages,2020-12-22 18:01:35,2021-02-25 17:35:39,,Primary erythromelalgia,Erythromelalgia,Primary erythermalgia,7,23,,,NULL
187,ORPHA:529864,,,,,,-,,,Unknown,-,All ages,2020-12-22 18:01:35,2021-04-21 15:40:09,,Secondary erythromelalgia,,Secondary erythermalgia,0,0,,,NULL
188,ORPHA:280379,10948,,,,,E80.2,,"A rare porphyria characterized by a pre-existing myeloid disorder, skin fragility and blistering on the exposed areas, and hemorrhagic bullae typically on the back of the hands. Urine, plasma and fecal porphyrins are increased.",<1 / 1 000 000,Autosomal recessive ,Adult,2020-12-22 18:01:35,2021-02-25 17:35:45,,Erythropoietic uroporphyria associated with myeloid malignancy,Erythropoietic uroporphyria associated with myeloid malignancy,,0,0,,,NULL
189,ORPHA:86879,,,,D054391,C0018197,C86.0,,"Extranodal nasal NK/T cell lymphoma (NKTCL) is a rare, malignant neoplasm mainly affecting men in the fifth decade of life, that usually arises in the nose, paranasal sinuses, orbits or upper airway, and that can present with a nasal mass, nasal bleeding, nasal obstruction, palate perforation (i.e. midline perforation of the hard palate), and mid-facial and/or upper airway destructive lesions. In advanced disease stages, which are associated with a poor prognosis, NKTCL may disseminate to other organs. A few cases of NKTCL presenting primarily in the lymph nodes have also been described.",,Multigenic/multifactorial or Not applicable ,Adult,2020-12-22 18:01:35,2021-02-25 17:35:48,10065855,Extranodal nasal NK/T cell lymphoma,Extranodal nasal NK/T cell lymphoma,"Angiocentric T-cell lymphoma, Lethal midline granulomanNK/T-cell lymphoma, NKTCL, Nasal T/natural killer-cell lymphoma",1,0,,,NULL
190,ORPHA:324,6400,301500,,D000795,C0002986,E75.2,,"Fabry disease (FD) is a progressive, inherited, multisystemic lysosomal storage disease characterized by specific neurological, cutaneous, renal, cardiovascular, cochleo-vestibular and cerebrovascular manifestations.Annual incidence is reported to be 1 in 80,000 live births but this figure may underestimate disease prevalence. When late-onset variants of the disease are considered, a prevalence of approximately 1 in 3,000 has been suggested. FD is pan-ethnic.The clinical picture covers a wide spectrum ranging from mild cases in heterozygous females, to severe cases in classically affected hemizygous males with no residual alpha-galactosidase A activity. These patients may have all the characteristic neurological (pain), cutaneous (angiokeratoma), renal (proteinuria, kidney failure), cardiovascular (cardiomyopathy, arrhythmia), cochleo-vestibular and cerebrovascular (transient ischemic attacks, strokes) signs of the disease. Female patients may have very mild to severe symptoms. Pain is a common early symptom of FD (chronic pain characterized by burning and tingling paresthesia and occasional episodic crises characterized by agonizing burning pain). Pain may resolve in adulthood. Anhidrosis or hypohidrosis may occur causing heat and exercise intolerance. Other signs include angiokeratoma, corneal changes, tinnitus, chronic fatigue, cardiac and cerebrovascular abnormalities (left ventricular hypertrophy, arrhythmia, angina), dyspnea, and nephropathy.Fabry disease is a disorder of glycosphingolipid metabolism caused by deficient or absent lysosomal alpha-galactosidase A activity related to mutations in the GLA gene (Xq21.3-q22) encoding the alpha-galactosidase A enzyme. Deficient activity results in accumulation of globotriaosylceramide (Gb3) within lysosomes, believed to trigger a cascade of cellular events.Definitive laboratory diagnosis involves demonstration of marked enzyme deficiency in hemizygous males. Enzyme analysis may occasionally help to detect heterozygotes but is often inconclusive due to random X-chromosomal inactivation, making molecular testing (genotyping) of females mandatory.In childhood, other possible causes of pain such as rheumatoid arthritis and ""growing pains"" must be ruled out. In adulthood, multiple sclerosis is sometimes considered.Prenatal diagnosis, available by determination of enzyme activity or DNA testing in chorionic villi or cultured amniotic cells is, for ethical reasons, only considered in male fetuses. Pre-implantation diagnosis is possible.FD is transmitted as an X-linked trait. The existence of atypical, late-onset, variants and the availability of specific therapy complicate genetic counseling.A disease-specific therapeutic option (enzyme replacement therapy using in vitro engineered alpha-galactosidase A) has recently been introduced and its long-term outcome is under investigation for both preparations available, but is promising. Enzyme enhancement with pharmacological chaperones is currently under investigation in clinical trials. Conventional management consists of pain relief with analgesic drugs, nephroprotection (angiotensin converting enzyme inhibitors and angiotensin receptors blockers), antiarrhythmic agents, pace-maker or implantable cardioverter defibrillator, dialysis and kidney transplant.With age, progressive damage to vital organ systems develops, possibly leading to organ failure. End-stage renal disease and life-threatening cardiovascular or cerebrovascular complications limit the life-expectancy of untreated males and females with reductions of 20 and 10 years, respectively, versus the general population.",1-5 / 10 000,X-linked recessive ,Childhood,2020-12-22 18:01:35,2021-02-25 17:35:51,10016016,Fabry disease,Fabry disease,"Alpha-galactosidase A deficiency, Anderson-Fabry disease, Angiokeratoma corporis diffusum, Diffuse angiokeratoma, FD",108,76,,,NULL
191,ORPHA:459061,,616901,,,,,,"A rare, genetic, multiple congenital anomalies/dysmorphic syndrome characterized by craniofacial dysmorphism (including an abnormal skull shape, hypertelorism, downslanting palpebral fissures, epicanthal folds, low-set ears, depressed nasal bridge, micrognathia), short stature, ectodermal anomalies (such as sparse eyebrows, eyelashes, and scalp hair, hypolastic toenails), developmental delay, and intellectual disability. Additional features may include cerebral/cerebellar malformations and mild renal involvement.",<1 / 1 000 000,Autosomal recessive ,"Antenatal, Neonatal",2020-12-22 18:01:35,2021-02-25 17:35:54,,Craniofacial dysplasia-short stature-ectodermal anomalies-intellectual disability syndrome,Facial ectodermal dysplasia,Developmental delay-short stature-dysmorphic features-sparse hair syndrome,1,0,,,NULL
192,ORPHA:47045,9535,120100,,,C0343068,L50.2,,"Familial cold urticaria (FCAS) is the mildest form of cryopyrin-associated periodic syndrome (CAPS; see this term) and is characterized by recurrent episodes of urticaria-like skin rash triggered by exposure to cold associated with low-grade fever, general malaise, eye redness and arthralgia/myalgia.The exact prevalence of FCAS is unknown. Most cases have been published in the USA, and this CAPS phenotype could be less frequent in Europe in comparison with MWS and CINCA.FCAS generally starts in childhood (<10 years, often at birth), but may occasionally start later, and is characterized by recurrent episodes of non-pruritic urticaria-like rash triggered by exposure to cold (5 minutes to 3 hours and not necessarily by touch). Lesions last about 12 hours (range 30 minutes to 72 hours) and are typically associated with a burning sensation. Low-grade, daylong episodes of fever, malaise, conjunctivitis, and abdominal discomfort are also observed. Polyarthralgias involving hands, knees, and ankles are very common and incapacitating. Other joints involved are feet, wrists, and elbows. Profuse sweating, drowsiness, headache, extreme thirst, and nausea are also noticed after cold exposure. Amyloidosis, arthritis are uncommon while deafness, lymphadenopathy, and serositis are absentFCAS is caused by gain-of-function point mutations in the NLRP3 gene (1q44), which encodes cryopyrin. Mutations in NLRP3 gene ultimately lead to the increased secretion of the proinflammatory cytokine interleukin (IL)-1 beta and dysregulated inflammation. Mutations in this gene may also cause two additional forms of CAPS which are Muckle-Wells syndrome (MWS) and CINCA syndrome (see these terms), demonstrating that all three disorders are allelic. Some patients with a classical phenotype of FCAS, MWS or CINCA syndrome may not have mutations in NLRP3, suggesting involvement of additional genes. In addition, somatic NLRP3 mosaicism could explain 30-60% of patients with negative conventional genetic testing. Patients carrying identical amino acid substitution may present with distinctly different clinical subtypes, suggesting that additional genetic and/or environmental modifying factors are required to define the clinical phenotype.Transmission is autosomal dominant. Genetic counseling may be proposed and the recurrence risk is 50%.",Unknown,Autosomal dominant ,"Infancy, Childhood, Adolescent",2020-12-22 18:01:35,2021-02-25 17:35:57,10064570,Familial cold urticaria,Familial cold autoinflammatory syndrome,"FCAS, FCU, Familial cold autoinflammatory syndrome",20,27,,,NULL
193,ORPHA:53296,9799,115250,,,C0406817,L94.8,,"Familial cutaneous collagenoma is a connective tissue nevus characterized by multiple, flesh-colored asymptomatic nodules distributed symmetrically on the trunk and upper arms (mainly on the upper two-thirds of the back), manifesting around adolescence. The skin biopsy reveals an accumulation of collagen fibers with reduction in the number of elastic fibers. Cardiac anomalies may be observed. Familial cutaneous collagenoma follows an autosomal dominant mode of transmission.",<1 / 1 000 000,Autosomal dominant ,Adolescent,2020-12-22 18:01:35,2021-02-25 17:36:00,,Familial cutaneous collagenoma,Familial cutaneous collagenoma,,0,16,,,NULL
194,ORPHA:1764,7581,223900,,D004402,C0013364,G90.1,,"A rare hereditary sensory and autonomic neuropathy characterized by decreased pain and temperature perception, absent deep tendon reflexes, proprioceptive ataxia, afferent baroreflex failure and progressive optic neuropathy.The disease affects individuals of Ashkenazi Jewish ancestry. The prevalence at birth in the Ashkenazi Jewish population is estimated at 1/10,000 in North America and 1/3,700 in Israel.The disease is present at birth and is progressive. Initial symptoms (from birth to 3 years) include swallowing problems, aspiration pneumonia, hypotonia, temperature and blood pressure instability, and delayed development. Lack of fungiform papilla on the tongue and absence of tears with emotional crying are classic features, but not easily recognized (the tongue appears inconspicuous and lack of overflow tears is normal until about seven months of age). No obvious dysmorphism is present at birth, but a characteristic facial expression develops over time. Pain and temperature perception are decreased, but not absent. Proprioception and vibration sense are markedly decreased. Deep tendon reflexes are absent. Feeding difficulties due to gastrointestinal dysmotility (oropharyngeal incoordination, abnormal esophageal peristalsis, erratic gastric emptying, gastroesophageal reflux) occur early and may persist throughout life. Episodes of protracted vomiting attacks and hypertension termed 'autonomic crises'' can be recurrent. Forty percent of the patients manifest a cyclical crisis pattern that can occur daily, weekly, or monthly with personality changes ranging from irritability and withdrawal to general excitation. Chronic lung disease (secondary to repeated aspirations), restrictive lung disease (imposed by scoliosis), and chemoreceptor dysfunction (resulting in blunted responses to hypoxemia) are frequent. Orthostatic hypotension without compensatory tachycardia is always present, as well as episodic hypertension in response to emotional stress or visceral pain. Chronic renal failure is common. Progressive optic neuropathy and neurotrophic keratopathy result in severe visual loss. There is ample phenotypic variation particularly in cognitive abilities. Severe kyphoscoliosis and short stature are common.The disease is due to a founder mutation in the ELP1 gene (9q31), encoding elongator-1 protein, resulting in a truncated unstable protein. ELP1 is implicated in the migration, survival, and myelination of neurons during development and, in humans, the mutation affects the development of primary sensory and autonomic neurons.Diagnosis is based upon clinical recognition of both sensory and autonomic dysfunction as well as alacrima, absent fungiform papillae, and abnormal histamine test with absent axon flare. Genetic testing provides a definitive diagnosis.Differential diagnosis includes the other hereditary sensory and autonomic neuropathies (HSAN). Normal or increased sweating easily distinguishes familial dysautonomia (FD) from HSAN4, also hypertensive crises are unique to FD and not present in other HSANs. Deep tendon reflexes are absent in FD.Prenatal diagnosis is possible in families where the pathogenic variant has previously been identified.The pattern of inheritance is autosomal recessive. Where both parents are unaffected carriers, the risk of disease transmission to offspring is 25%. Offspring of affected individuals are obligate carriers.Management should be tailored for each patient, as the clinical expression varies considerably. It is supportive and mainly directed towards protecting the cornea, and management of gastrointestinal dysfunction, respiratory dysfunction, and blood pressure lability.Average age of death is in the third decade of life but patients may live into the seventh decade.",<1 / 1 000 000,Autosomal recessive ,"Childhood, Infancy, Neonata",2020-12-22 18:01:35,2021-02-25 17:36:03,10039179,Familial dysautonomia,Familial dysautonomia,"HSAN3, Hereditary sensory and autonomic neuropathy type 3, Hereditary sensory and autonomic neuropathy type III, Riley-Day syndrome",52,58,,,NULL
195,ORPHA:2295,3054,147900,,,C0268349,Q79.6,,"A rare genetic disease characterized by generalized joint laxity leading to recurrent dislocation of major joints, such as the hip (often with congenital hip dislocation), shoulder, elbow, or patella. Patients often experience muscle and joint pain (sometimes with effusion) and may develop degenerative joint changes at a relatively early age. Skin abnormalities are absent.",Unknown,Autosomal dominant ,"Adolescent, Infancy, Childhood",2020-12-22 18:01:36,2021-02-25 17:36:06,,Familial articular hypermobility syndrome,Familial joint instability syndrome,"Familial joint instability syndrome, Familial joint laxity, Joint instability syndrome",0,10,,,NULL
196,ORPHA:199276,12925,151900,,,C3489413,E88.2,,"Familial multiple lipomatosis is a rare, benign, genetic skin disease characterized by numerous, painless, encapsulated lipomas located in the subcutaneous adipose tissue of the trunk and extremities, with relative sparing of the neck and shoulders. Association with gastroduodenal lipomatosis, brain anomalies or lipomatosis, and refractory epilepsy has been reported.",,-,-,2020-12-22 18:01:36,2021-04-21 15:46:16,,Familial multiple lipomatosis,Familial multiple lipomatosis,,54,24,,,NULL
197,ORPHA:538756,,190340,,,,D23.2,,"A rare, genetic, skin tumor disorder characterized by childhood-onset of multiple, benign, asymptomatic, white to flesh-colored papules predominently located on the face, ears, neck and trunk, not associated with systemic organ involvement, associated malignancies or FLCN gene locus mutation.",<1 / 1 000 000,,"Childhood, Adolescent, Adult, Infancy, Neonatal",2020-12-22 18:01:36,2021-02-25 17:36:12,,Familial multiple discoid fibromas,Familial multiple trichodiscomas,Familial multiple trichodiscomas,0,0,,,NULL
198,ORPHA:98306,11962,,,D052496,C0271694,E88.1,,"A group of rare genetic lipodystrophies characterized, in most cases, by fat loss from the limbs and buttocks, from childhood or early adulthood, and often associated with acanthosis nigricans, insulin resistance, diabetes, hypertriglyceridemia and liver steatosis.The prevalence of familial partial lipodystrophy (FPLD) is estimated at less than 1/100,000 in Europe; however, this is likely an underestimate.Whilst FPLD is clinically and genetically heterogeneous, each form of FPLD shows a varying degree of lipoatrophy of trunk and/or extremities with sparing subcutaneous fat or even fat accumulation in the cervico-facial and/or truncal region. Patients appear normal at birth and throughout childhood regarding fat distribution but develop clinically apparent changes near puberty. Metabolic complications appear progressively in adolescence or in adulthood and include insulin resistance, diabetes, hepatic steatosis, acanthosis nigricans, high blood pressure, and premature atherosclerosis with an increased risk of coronary heart disease. Some females may display the features of polycystic ovary syndrome such as hirsutism, oligomenorrhea, polycystic ovaries and infertility. Patients are typically predisposed to early cardiovascular diseases. Other manifestations may include complications of diabetes, recurrent acute pancreatitis and liver steatohepatitis or cirrhosis. FPLD3 is frequently associated with severe hypertension.FPLD2, the most common form of FPLD, is caused by a mutation in the LMNA gene (1q22) encoding the nuclear intermediate filaments A-type lamins. Other mutations in this gene can lead to atypical lipodystrophies, more frequently associated with other laminopathic phenotypes (muscular and/or cardiac dystrophies, accelerated aging) such as autosomal codominant severe lipodystrophic laminopathy. Other genes associated with rarer genetic variants of FPLD include PPARG (3p25; FPLD3), AKT2 (19q13.1-q13.2), PLIN1 (15q26; FPLD4), CIDEC (3p25; FPLD5) and LIPE (19q13.1-q13.2; FPLD6). FPLD1 is probably of oligogenic or polygenic origin including different etiological subtypes . Many patients with a FPLD phenotype do not display any pathogenic variants in these genes and thus other disease-causing genes are yet to be discovered.Diagnosis is made by clinical examination, analysis of fat distribution by imaging (MRI, CT-scan and whole-body dual-energy X-ray absorptiometry) and evaluation of metabolic status (hypertriglyceridemia, low levels of high density lipoprotein (HDL)-cholesterol in the blood, hyperinsulinemia, altered glucose tolerance, low circulating levels of leptin and adiponectin). Body mass index is usually normal. Liver enzyme levels should be measured and ultrasonography of liver should be performed, and with transient elastography if a fatty liver disease is suspected. Cardiovascular investigations are needed to search for rhythm and conduction disturbances, and early atherosclerosis. Molecular genetic testing confirms diagnosis.Differential diagnoses include other forms of FPLD as well as Cushing syndrome, type 2 diabetes, metabolic syndrome and acquired lipodystrophy.Prenatal diagnosis could be discussed in families with a known disease causing mutation.Depending on the causal mutation involved, FPLD can be inherited in an autosomal dominant or recessive manner. Genetic counseling is possible in families with a known disease-causing mutation.Treatment consists of correcting metabolic abnormalities and managing complications. Monitoring diet (reduced intake of dietary fats and carbohydrates) and maintaining daily physical activity can improve the metabolic complications of lipodystrophy. Insulin sensitizers (mainly metformin) and lipid-lowering drugs (statins, or fibrates in case of major hypertriglyceridemia) can also be helpful. Diabetes may require other non-specific treatments, along with insulin. The orphan drug metreleptin is authorized under exceptional circumstances in Europe for the treatment of metabolic complications of partial forms of lipodystrophies, in adults and children above the age of 12 years, where standard treatments have failed. Further studies are required to investigate the benefits and risks of treatment. Regular cardiac monitoring is recommended. Ethinylestradiol should be avoided in women with FPLD and hypertriglyceridemia. Plastic surgery can help some patients.Prognosis is linked to the severity of associated comorbidities (diabetes, pancreatitis, cardiovascular diseases).",1-9 / 1 000 000,Autosomal dominant or Autosomal recessive ,"Childhood, Adolescent, Adult, Elderly",2020-12-22 18:01:36,2021-02-25 17:36:15,,Familial partial lipodystrophy,Familial partial lipodystrophy associated with PLIN1 mutations - See Familial partial lipodystrophy,FPLD,28,0,,,NULL
199,ORPHA:79083,12600,604367,,,C1720861,E88.1,,"A rare familial partial lipodystrophy characterized by adult onset of distal lipoatrophy with gluteofemoral fat loss, as well as increased fat accumulation in the face and trunk and visceral adiposity. Additional manifestations include diabetes mellitus, atherogenic dyslipidemia, eyelid xanthelasmas, arterial hypertension, cardiovascular disease, hepatic steatosis, acanthosis nigricans on axillae and neck, hirsutism, and muscular hypertrophy of the lower limbs.",<1 / 1 000 000,Autosomal dominant ,Adult,2020-12-22 18:01:36,2021-04-20 16:17:47,,PPARG-related familial partial lipodystrophy,Familial partial lipodystrophy associated with PPARG mutations,"FPLD3, Familial partial lipodystrophy type 3, PPARG-related FPLD",10,45,,,NULL
200,ORPHA:79085,12599,,,,,E88.1,,"A rare familial partial lipodystrophy characterized by adult onset of distal lipoatrophy and severe insulin resistance in the liver and peripheral tissues, hyperinsulinemia, and diabetes mellitus. Acanthosis nigricans and hypertension have been reported in association.",<1 / 1 000 000,Autosomal dominant ,Adult,2020-12-22 18:01:36,2021-04-20 16:17:25,,AKT2-related familial partial lipodystrophy,Familial partial lipodystrophy due to AKT2 mutations - See Familial partial lipodystrophy,AKT2-related FPLD,1,0,,,NULL
201,ORPHA:2348,3126,151660,,,C1720860,E88.1,,"A rare, genetic lipodystrophy characterized by a loss of subcutaneous adipose tissue from the trunk, buttocks and limbs; fat accumulation in the neck, face, axillary and pelvic regions; muscular hypertrophy; and usually associated with metabolic complications such as insulin resistance, diabetes mellitus, dyslipidemia and liver steatosis.Familial partial lipodystrophy, Dunnigan type (FPLD2) is the most frequent form of familial partial lipodystrophy (FPLD) for which the prevalence is estimated at less than 1/100,000 in Europe; although, this is likely an underestimate.Onset of lipodystrophy usually occurs at or around puberty, with regional loss of subcutaneous adipose tissue from the limbs, buttocks and trunk, followed by a progressive fat accumulation on the face, neck and axillary regions giving patients a cushingoid appearance. Females often have a more severe phenotype than males. An increased skeletal muscle volume and mass is also noted. Prominent veins (due to lipoatrophy) are noted in the limbs. Metabolic complications appear progressively in adolescence or in adulthood and include insulin resistance, diabetes, hepatic steatosis, acanthosis nigricans, high blood pressure, and premature atherosclerosis with an increased risk of coronary heart disease. Some patients may display the features of polycystic ovary syndrome such as hirsutism, oligomenorrhea, polycystic ovaries and infertility. All patients are typically predisposed to early cardiovascular diseases. Other manifestations may include complications of diabetes, recurrent acute pancreatitis and liver steatohepatitis or cirrhosis.FPLD2 is caused by mutations in the LMNA gene (1q22) encoding the nuclear intermediate filaments A-type lamins. Typical forms of FPLD2 are mainly due to heterozygous substitutions at the 482nd codon of the gene (p.R482W/Q or L mutation). Other monoallelic or biallelic LMNA pathogenic variants are rarely found, and are more frequently associated with atypical forms of lipodystrophies, associated or not with other laminopathic phenotypes (muscular and/or cardiac dystrophies, accelerated aging).Diagnosis is made by clinical examination, analysis of fat distribution by imaging (MRI, CT-scan and whole-body dual-energy X-ray absorptiometry) and evaluation of metabolic status (hypertriglyceridemia, low levels of high density lipoprotein (HDL)-cholesterol in the blood, hyperinsulinemia, altered glucose tolerance, low circulating levels of leptin and adiponectin). Body mass index is usually normal. Liver enzyme levels should be measured and ultrasonography of liver should be performed, and with transient elastography if a fatty liver disease is suspected. Cardiovascular investigations are needed to search for rhythm and conduction disturbances, and early atherosclerosis. Molecular genetic testing confirms diagnosis.Differential diagnoses include other forms of FPLD as well as Cushing syndrome, type 2 diabetes, metabolic syndrome and acquired lipodystrophy.Prenatal diagnosis could be discussed in families with a known disease causing mutation.FPLD2 is inherited in an autosomal dominant manner; where there is an affected parent, the risk of disease transmission is 50%.Treatment consists of correcting metabolic abnormalities and managing complications. Monitoring diet (reduced intake of dietary fats and carbohydrates) and maintaining daily physical activity can improve the metabolic complications of lipodystrophy. Insulin sensitizers (mainly metformin) and lipid-lowering drugs (statins, or fibrates in case of major hypertriglyceridemia) can also be helpful. Diabetes may require other non-specific treatments, along with insulin. The orphan drug metreleptin is authorized under exceptional circumstances in Europe for the treatment of metabolic complications of partial forms of lipodystrophies, in adults and children above the age of 12 years, where standard treatments have failed. Further studies are required to investigate the benefits and risks of treatment. Regular cardiac monitoring is recommended. Ethinylestradiol should be avoided in women with FPLD2. Plastic surgery can help some patients.Prognosis is linked to the severity of associated comorbidities (diabetes, pancreatitis, cardiovascular diseases).",Unknown,Autosomal dominant ,"Elderly, Adolescent, Adult, Childhood",2020-12-22 18:01:36,2021-02-25 17:36:25,,"Familial partial lipodystrophy, Dunnigan type",Familial partial lipodystrophy type 2,"Dunnigan syndrome, FPLD2, Familial partial lipodystrophy type 2",16,52,,,NULL
202,ORPHA:79084,12598,608600,,,C1720859,E88.1,,"Familial partial lipodystrophy, Köbberling type, is a very rare form of familial partial lipodystrophy (FPLD; see this term) of unknown etiology characterized by lipoatrophy that is confined to the limbs and a normal or increased fat distribution of the face, neck, and trunk. Arterial hypertension and diabetes have also been associated. Inheritance is thought to be autosomal dominant.",<1 / 1 000 000,Autosomal dominant ,Childhood,2020-12-22 18:01:36,2021-02-25 17:36:28,,"Familial partial lipodystrophy, Köbberling type",Familial partial lipodystrophy type Köbberling,Familial partial lipodystrophy type 1,9,26,,,NULL
203,ORPHA:79147,,216700,,,C1857624,L87.1,,Familial reactive perforating collagenosis is a very rare genetic skin disease characterized by transepidermal elimination of collagen fibers presenting as recurrent spontaneously involuting keratotic papules or nodules.,<1 / 1 000 000,,Childhood,2020-12-22 18:01:36,2021-02-25 17:36:31,,Familial reactive perforating collagenosis,Familial reactive perforating collagenosis,,7,0,,,NULL
